NUTS_NAME,NUTS_ID,bad_names
Aichach-Friedberg,DE275,"Aichach-Friedberg, Landkreis"
Altötting,DE214,"Altötting, Landkreis"
"Amberg, Kreisfreie Stadt",DE231,"Amberg, Kreisfreie Stadt"
Amberg-Sulzbach,DE234,"Amberg-Sulzbach, Landkreis"
"Ansbach, Kreisfreie Stadt",DE251,"Ansbach, Kreisfreie Stadt"
"Ansbach, Landkreis",DE256,"Ansbach, Landkreis"
"Aschaffenburg, Kreisfreie Stadt",DE261,"Aschaffenburg, Kreisfreie Stadt"
"Aschaffenburg, Landkreis",DE264,"Aschaffenburg, Landkreis"
"Augsburg, Kreisfreie Stadt",DE271,"Augsburg, Kreisfreie Stadt"
"Augsburg, Landkreis",DE276,"Augsburg, Landkreis"
Bad Kissingen,DE265,"Bad Kissingen, Landkreis"
Bad Tölz-Wolfratshausen,DE216,"Bad Tölz-Wolfratshausen, Landkreis"
"Bamberg, Kreisfreie Stadt",DE241,"Bamberg, Kreisfreie Stadt"
"Bamberg, Landkreis",DE245,"Bamberg, Landkreis"
"Bayreuth, Kreisfreie Stadt",DE242,"Bayreuth, Kreisfreie Stadt"
"Bayreuth, Landkreis",DE246,"Bayreuth, Landkreis"
Berchtesgadener Land,DE215,"Berchtesgadener Land, Landkreis"
Cham,DE235,"Cham, Landkreis"
"Coburg, Kreisfreie Stadt",DE243,"Coburg, Kreisfreie Stadt"
"Coburg, Landkreis",DE247,"Coburg, Landkreis"
Dachau,DE217,"Dachau, Landkreis"
Deggendorf,DE224,"Deggendorf, Landkreis"
Dillingen a.d. Donau,DE277,"Dillingen a.d.Donau, Landkreis"
Dingolfing-Landau,DE22C,"Dingolfing-Landau, Landkreis"
Donau-Ries,DE27D,"Donau-Ries, Landkreis"
Ebersberg,DE218,"Ebersberg, Landkreis"
Eichstätt,DE219,"Eichstätt, Landkreis"
Erding,DE21A,"Erding, Landkreis"
"Erlangen, Kreisfreie Stadt",DE252,"Erlangen, Kreisfreie Stadt"
Erlangen-Höchstadt,DE257,"Erlangen-Höchstadt, Landkreis"
Forchheim,DE248,"Forchheim, Landkreis"
Freising,DE21B,"Freising, Landkreis"
Freyung-Grafenau,DE225,"Freyung-Grafenau, Landkreis"
Fürstenfeldbruck,DE21C,"Fürstenfeldbruck, Landkreis"
"Fürth, Kreisfreie Stadt",DE253,"Fürth, Kreisfreie Stadt"
"Fürth, Landkreis",DE258,"Fürth, Landkreis"
Garmisch-Partenkirchen,DE21D,"Garmisch-Partenkirchen, Landkreis"
Günzburg,DE278,"Günzburg, Landkreis"
Haßberge,DE267,"Haßberge, Landkreis"
"Hof, Kreisfreie Stadt",DE244,"Hof, Kreisfreie Stadt"
"Hof, Landkreis",DE249,"Hof, Landkreis"
"Ingolstadt, Kreisfreie Stadt",DE211,"Ingolstadt, Kreisfreie Stadt"
"Kaufbeuren, Kreisfreie Stadt",DE272,"Kaufbeuren, Kreisfreie Stadt"
Kelheim,DE226,"Kelheim, Landkreis"
"Kempten (Allgäu), Kreisfreie Stadt",DE273,"Kempten (Allgäu), Kreisfreie Stadt"
Kitzingen,DE268,"Kitzingen, Landkreis"
Kronach,DE24A,"Kronach, Landkreis"
Kulmbach,DE24B,"Kulmbach, Landkreis"
Landsberg am Lech,DE21E,"Landsberg am Lech, Landkreis"
"Landshut, Kreisfreie Stadt",DE221,"Landshut, Kreisfreie Stadt"
"Landshut, Landkreis",DE227,"Landshut, Landkreis"
Lichtenfels,DE24C,"Lichtenfels, Landkreis"
Lindau (Bodensee),DE27A,"Lindau (Bodensee), Landkreis"
Main-Spessart,DE26A,"Main-Spessart, Landkreis"
"Memmingen, Kreisfreie Stadt",DE274,"Memmingen, Kreisfreie Stadt"
Miesbach,DE21F,"Miesbach, Landkreis"
Miltenberg,DE269,"Miltenberg, Landkreis"
Mühldorf a. Inn,DE21G,"Mühldorf a.Inn, Landkreis"
"München, Kreisfreie Stadt",DE212,"München, Landeshauptstadt"
"München, Landkreis",DE21H,"München, Landkreis"
Neu-Ulm,DE279,"Neu-Ulm, Landkreis"
Neuburg-Schrobenhausen,DE21I,"Neuburg-Schrobenhausen, Landkreis"
Neumarkt i. d. OPf.,DE236,"Neumarkt i.d.OPf., Landkreis"
Neustadt a. d. Aisch-Bad Windsheim,DE25A,"Neustadt a.d.Aisch-Bad Windsheim, Landkreis"
Neustadt a. d. Waldnaab,DE237,"Neustadt a.d.Waldnaab, Landkreis"
"Nürnberg, Kreisfreie Stadt",DE254,"Nürnberg, Kreisfreie Stadt"
Nürnberger Land,DE259,"Nürnberger Land, Landkreis"
Oberallgäu,DE27E,"Oberallgäu, Landkreis"
Ostallgäu,DE27B,"Ostallgäu, Landkreis"
"Passau, Kreisfreie Stadt",DE222,"Passau, Kreisfreie Stadt"
"Passau, Landkreis",DE228,"Passau, Landkreis"
Pfaffenhofen a. d. Ilm,DE21J,"Pfaffenhofen a.d.Ilm, Landkreis"
Regen,DE229,"Regen, Landkreis"
"Regensburg, Kreisfreie Stadt",DE232,"Regensburg, Kreisfreie Stadt"
"Regensburg, Landkreis",DE238,"Regensburg, Landkreis"
Rhön-Grabfeld,DE266,"Rhön-Grabfeld, Landkreis"
"Rosenheim, Kreisfreie Stadt",DE213,"Rosenheim, Kreisfreie Stadt"
"Rosenheim, Landkreis",DE21K,"Rosenheim, Landkreis"
Roth,DE25B,"Roth, Landkreis"
Rottal-Inn,DE22A,"Rottal-Inn, Landkreis"
"Schwabach, Kreisfreie Stadt",DE255,"Schwabach, Kreisfreie Stadt"
Schwandorf,DE239,"Schwandorf, Landkreis"
"Schweinfurt, Kreisfreie Stadt",DE262,"Schweinfurt, Kreisfreie Stadt"
"Schweinfurt, Landkreis",DE26B,"Schweinfurt, Landkreis"
Starnberg,DE21L,"Starnberg, Landkreis"
"Straubing, Kreisfreie Stadt",DE223,"Straubing, Kreisfreie Stadt"
Straubing-Bogen,DE22B,"Straubing-Bogen, Landkreis"
Tirschenreuth,DE23A,"Tirschenreuth, Landkreis"
Traunstein,DE21M,"Traunstein, Landkreis"
Unterallgäu,DE27C,"Unterallgäu, Landkreis"
"Weiden i. d. Opf, Kreisfreie Stadt",DE233,"Weiden i.d.OPf., Kreisfreie Stadt"
Weilheim-Schongau,DE21N,"Weilheim-Schongau, Landkreis"
Weißenburg-Gunzenhausen,DE25C,"Weißenburg-Gunzenhausen, Landkreis"
Wunsiedel i. Fichtelgebirge,DE24D,"Wunsiedel i.Fichtelgebirge, Landkreis"
"Würzburg, Kreisfreie Stadt",DE263,"Würzburg, Kreisfreie Stadt"
"Würzburg, Landkreis",DE26C,"Würzburg, Landkreis"